Dow,Nasdaq,S&P_500
25200.3691,7256.4302,2731.2
25219.3809,7239.4702,2732.22
24964.75,7234.3101,2716.26
24797.7793,7218.23,2701.3301
24962.4805,7210.0898,2703.96
25309.9902,7337.3901,2747.3
25709.2695,7421.46,2779.6001
25410.0293,7330.3501,2744.28
25029.1992,7273.0098,2713.8301
24608.9805,7180.5601,2677.6699
24538.0605,7257.8701,2691.25
24874.7598,7330.71,2720.9399
24884.1191,7372.0098,2728.1201
24801.3594,7396.6499,2726.8
24895.2109,7427.9502,2738.97
25335.7402,7560.8101,2786.5701
25178.6094,7588.3198,2783.02
25007.0293,7511.0098,2765.3101
24758.1191,7496.8101,2749.48
24873.6602,7481.7402,2747.3301
24946.5098,7481.9902,2752.01
24610.9102,7344.2402,2712.9199
24727.2695,7364.2998,2716.9399
24682.3105,7345.29,2711.9299
23957.8906,7166.6802,2643.6899
23533.1992,6992.6699,2588.26
24202.5996,7220.54,2658.55
23857.7109,7008.8101,2612.6201
23848.4199,6949.23,2605.0
24103.1094,7063.4502,2640.8701
23644.1895,6870.1201,2581.8799
24033.3594,6941.2798,2614.45
24264.3008,7042.1099,2644.6899
24505.2207,7076.5498,2662.8401
23932.7598,6915.1099,2604.47
23979.0996,6950.3398,2613.1599
24408.0,7094.2998,2656.8701
24189.4492,7069.0298,2642.1899
24483.0508,7140.25,2663.99
24360.1406,7106.6499,2656.3
24573.0391,7156.2798,2677.8401
24786.6309,7281.1001,2706.3899
24748.0703,7295.2402,2708.6399
24664.8906,7238.0601,2693.1299
24462.9395,7146.1299,2670.1399
24448.6895,7128.6001,2670.29
24024.1309,7007.3501,2634.5601
24083.8301,7003.7402,2639.3999
24322.3398,7118.6802,2666.9399
24311.1895,7119.7998,2669.9099
24163.1504,7066.27,2648.05
24099.0508,7130.7002,2654.8
23924.9805,7100.8999,2635.6699
23930.1504,7088.1499,2629.73
24262.5098,7209.6201,2663.4199
24357.3203,7265.21,2672.6299
24360.2109,7266.8999,2671.9199
24542.5391,7339.9102,2697.79
24739.5293,7404.9702,2723.0701
24831.1699,7402.8799,2727.72
24899.4102,7411.3198,2730.1299
